0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,2,0
0,1,19,0,0,0,7,0,0,5,0,2,0,0,0,9,0,7,0,14,0,0,19,0,0,1,0,6,16,10,0,12,15,0,0,7,9,10,0,2,6,0,0,0,2,7,0,17,0,0,0,0,0,16,0,14,19,18,6,0,7,11,0,8,0,1,16,3
0,19,1,5,0,2,10,0,0,5,22,3,1,0,1,14,4,24,5,15,0,2,40,0,0,1,0,15,19,16,0,19,16,0,0,15,9,11,2,13,23,0,0,1,2,7,0,21,0,0,0,0,3,17,0,18,37,20,13,0,7,11,0,17,0,8,20,3
0,0,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,11,2,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10,0,0
0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,7,10,0,0,0,1,0,0,5,4,5,0,0,0,11,2,9,0,6,0,0,14,0,0,1,0,6,7,9,0,4,10,0,1,8,0,10,0,4,9,0,0,0,0,10,0,7,0,0,0,0,0,10,0,5,13,10,2,0,0,7,0,7,0,3,9,4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,5,0,0,0,5,0,0,1,1,1,0,0,0,3,0,3,0,5,0,0,7,0,0,0,0,2,4,4,0,5,5,0,1,2,2,3,0,1,2,0,0,1,1,3,0,5,0,0,0,0,0,5,0,5,8,5,2,0,2,4,0,4,0,0,6,2
