0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
1,30,80,28,25,18,28,17,11,19,69,17,12,11,27,30,25,73,19,30,13,25,95,14,21,12,22,26,40,41,22,140,31,12,14,28,33,26,36,27,66,14,26,14,24,22,23,67,12,15,15,14,16,37,11,29,188,61,77,15,28,24,16,39,12,34,62,15
30,1,69,36,33,26,29,25,19,22,77,23,20,19,35,29,33,74,27,24,23,33,84,22,33,19,30,28,32,39,30,141,24,20,22,29,32,24,44,33,68,22,34,22,31,23,31,58,23,23,23,22,24,29,19,23,186,54,80,23,29,21,24,39,20,41,56,20
80,69,1,81,83,74,76,75,69,72,105,72,69,69,84,74,79,107,72,73,73,81,113,72,83,69,80,69,79,83,80,184,73,70,72,71,82,73,92,72,101,72,84,71,81,73,81,104,73,73,73,72,71,78,69,69,218,102,123,73,79,71,74,80,70,84,102,70
28,36,81,1,31,18,34,23,17,25,75,23,18,17,33,36,31,79,25,36,20,31,100,20,31,18,28,32,46,47,28,147,37,18,20,34,39,32,42,33,72,20,32,20,31,28,29,73,21,21,21,20,17,43,17,35,198,70,84,21,34,30,22,45,18,40,69,21
25,33,83,31,1,21,31,20,14,22,66,20,15,14,17,33,28,76,22,33,18,18,98,17,28,15,15,29,43,44,14,146,34,15,17,31,34,29,25,30,69,17,29,17,28,25,26,70,18,18,18,17,19,40,14,32,198,67,79,18,31,27,19,42,15,27,67,18
18,26,74,18,21,1,24,13,7,15,65,13,8,7,23,26,21,69,15,26,11,21,90,10,21,8,18,22,36,37,18,139,27,8,10,24,29,22,32,23,62,10,22,10,21,18,19,63,11,11,11,10,11,33,7,25,191,60,74,11,24,20,12,35,8,30,60,11
28,29,76,34,31,24,1,23,17,20,71,18,18,17,33,25,29,70,25,30,21,31,87,20,31,17,28,26,39,38,28,147,27,18,19,26,39,22,42,29,63,20,32,20,31,18,29,66,21,21,21,20,22,33,17,30,190,60,82,21,34,23,22,38,18,37,61,17
17,25,75,23,20,13,23,1,6,14,64,12,7,6,22,25,20,68,14,25,10,20,90,9,20,7,17,21,35,36,17,138,26,7,9,23,28,21,31,22,61,9,21,9,20,17,18,61,10,10,10,9,11,32,6,24,190,59,71,10,23,19,11,34,7,29,59,10
11,19,69,17,14,7,17,6,1,8,58,6,1,0,16,19,14,62,8,19,4,14,84,3,14,1,11,15,29,30,11,134,20,1,3,17,22,15,25,16,55,3,15,3,14,11,12,56,4,4,4,3,5,26,0,18,186,53,67,4,17,13,5,28,1,23,53,4
19,22,72,25,22,15,20,14,8,1,65,13,9,8,24,24,22,67,16,22,12,22,85,11,22,9,19,21,33,34,19,137,23,9,10,23,28,20,33,23,61,11,23,10,21,16,20,59,12,12,12,11,13,29,8,21,186,56,73,12,23,17,13,32,9,31,55,10
69,77,105,75,66,65,71,64,58,65,1,63,59,58,65,73,68,83,65,75,62,63,116,61,72,59,63,66,86,76,64,180,78,59,61,68,79,73,69,62,79,61,73,60,70,69,70,109,62,62,61,61,63,81,58,76,214,106,114,62,73,71,63,74,59,66,104,62
17,23,72,23,20,13,18,12,6,13,63,1,7,6,22,19,20,66,14,23,10,20,85,9,20,7,17,21,33,35,17,140,21,7,9,21,28,16,31,22,59,9,21,9,20,12,18,60,10,10,10,9,11,26,6,23,190,54,73,10,23,17,11,34,7,29,55,9
12,20,69,18,15,8,18,7,1,9,59,7,1,1,17,19,15,62,8,20,5,15,84,4,15,2,12,15,29,31,12,135,21,2,4,17,23,16,26,16,55,4,16,4,15,12,13,56,5,5,5,4,6,27,1,18,186,54,68,5,18,14,6,28,2,23,53,5
11,19,69,17,14,7,17,6,0,8,58,6,1,1,16,19,14,62,8,19,4,14,84,3,14,1,11,15,29,30,11,134,20,1,3,17,22,15,25,16,55,3,15,3,14,11,12,56,4,4,4,3,5,26,0,18,186,53,67,4,17,13,5,28,1,23,53,4
27,35,84,33,17,23,33,22,16,24,65,22,17,16,1,35,30,75,24,35,20,20,100,19,30,17,17,30,45,45,17,148,36,17,19,32,36,31,28,30,68,19,31,19,30,27,28,72,20,20,20,19,21,42,16,34,197,69,81,20,33,29,21,41,17,26,68,20
30,29,74,36,33,26,25,25,19,24,73,19,19,19,35,1,31,73,25,32,23,31,87,22,33,19,30,28,38,42,30,148,28,20,22,28,41,21,43,32,66,22,34,22,31,19,31,65,23,23,23,22,24,33,19,29,191,59,84,23,36,25,24,43,20,39,61,19
25,33,79,31,28,21,29,20,14,22,68,20,15,14,30,31,1,74,22,33,18,27,87,17,28,15,25,29,42,41,25,147,34,15,17,31,36,29,39,30,67,14,29,17,28,25,26,68,18,18,18,14,19,40,14,32,193,65,74,18,31,27,19,39,15,35,63,18
