0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222
1,3,2,2,4,2,4,6,5,2,4,2,4,4,4,3,2,9,8,4,7,26,2,4,2,2,4,3,2,2,2,2,2,2,4,2,2,5,3,3,2,5,4,10,2,3,2,12,23,3,2,4,7,12,2,2,5,7,20,2,2,2,2,2,4,2,15,3,2,2,6,5,2,3,3,5,4,7,7,6,2,3,3,3,3,2,2,2,2,3,4,2,2,2,2,2,2,16,2,2,2,9,3,2,3,3,3,2,2,2,2,10,4,7,4,7,2,2,2,2,7,3,3,2,2,6,2,2,2,2,3,5,2,4,2,4,2,7,2,2,2,3,9,3,2,2,2,6,2,2,2,4,8,2,2,4,6,4,2,2,10,4,4,7,4,2,2,3,4,4,3,2,12,8,2,2,2,15,4,5,3,2,2,6,3,3,3,3,3,2,2,2,4,2,4,3,3,2,5,2,2,4,4,3,3,5,2,4,2,2,2,2,2,2,5,2,4,2,3,2,2,2,2
3,1,3,3,5,3,4,7,5,3,5,3,5,5,5,4,3,10,7,5,8,25,3,5,3,3,5,4,3,3,3,3,3,3,5,3,3,6,4,4,3,6,5,11,3,4,3,13,22,4,3,5,6,12,3,3,4,8,21,3,3,3,3,3,5,3,16,4,3,3,5,6,3,4,4,6,5,8,8,6,3,4,4,4,4,3,3,3,3,4,5,3,3,3,3,3,3,16,3,3,3,10,4,2,2,4,4,3,3,3,2,11,5,8,5,8,3,3,3,3,7,4,4,3,3,5,3,3,3,3,4,6,3,5,3,5,2,8,3,3,3,4,10,4,2,3,3,7,3,3,3,5,9,3,3,5,7,5,3,3,11,5,5,8,5,3,3,4,5,4,4,3,11,9,3,3,3,14,5,6,4,3,3,5,4,4,4,4,4,2,3,3,5,3,5,4,4,3,6,3,3,5,5,4,4,6,3,5,3,3,3,3,3,3,6,3,5,3,4,3,3,3,3
2,3,1,2,4,2,4,6,5,2,3,2,4,4,4,3,2,9,8,4,7,26,2,4,2,2,4,3,2,2,2,2,2,2,4,2,2,5,3,3,2,5,4,10,2,3,2,12,23,3,2,4,7,12,2,2,5,7,20,2,2,2,2,2,4,2,15,3,2,2,6,5,2,3,3,5,4,7,7,6,2,3,3,3,3,2,2,2,2,3,4,2,2,2,2,2,2,16,2,2,2,9,3,2,3,3,3,2,2,2,2,10,4,7,4,7,2,2,2,2,7,3,3,2,2,6,2,2,2,2,2,5,2,4,2,4,2,7,2,2,2,3,9,3,2,2,2,6,2,2,2,4,8,2,2,4,6,4,2,2,10,4,4,7,4,2,2,3,4,4,3,2,12,8,2,2,2,15,4,5,3,2,2,6,2,3,3,3,3,2,2,2,4,2,4,3,3,2,5,2,2,4,4,3,3,5,2,4,2,2,2,2,2,2,5,2,4,2,3,2,2,2,2
2,3,2,1,4,2,4,6,5,2,4,2,4,4,4,3,2,9,8,4,7,26,2,4,2,2,4,3,2,2,2,2,2,2,4,2,2,5,3,3,2,5,4,10,2,3,2,12,23,3,2,4,7,12,2,2,5,7,20,2,2,2,2,2,4,2,15,3,2,2,6,5,2,3,3,5,4,7,7,6,2,3,3,3,3,2,2,2,2,3,4,2,2,2,2,2,2,16,2,2,2,9,3,2,3,3,3,2,2,2,2,10,4,7,4,7,2,2,2,2,7,3,3,2,2,6,2,2,2,2,3,5,2,4,2,4,2,7,2,2,2,3,9,3,2,2,2,6,2,2,2,4,8,2,2,4,6,4,2,2,10,4,4,7,4,2,2,3,4,4,3,2,12,8,2,2,2,15,4,5,3,2,2,6,3,3,3,3,3,2,2,2,4,2,4,3,3,2,5,2,2,4,4,3,3,5,2,4,2,2,2,2,2,2,5,2,4,2,3,2,2,2,2
4,5,4,4,1,4,6,8,7,4,6,4,6,6,6,3,4,8,10,6,8,27,4,6,4,4,6,5,4,4,4,4,4,4,6,4,4,7,5,5,4,6,4,9,4,5,4,14,22,5,4,4,9,13,4,4,6,8,19,4,4,4,4,4,6,4,17,5,4,4,8,7,4,3,3,7,6,8,8,8,4,3,3,3,5,4,4,4,4,5,6,4,3,3,3,3,4,18,4,4,4,11,5,4,5,5,5,4,3,3,4,9,5,8,5,8,4,4,4,4,9,5,5,4,4,8,4,4,4,4,5,6,3,4,4,4,4,8,4,3,4,5,10,5,4,4,4,8,4,4,4,5,10,4,4,4,8,6,4,3,9,4,5,8,6,4,4,5,4,6,3,4,14,9,4,3,3,16,4,6,5,4,3,8,5,5,5,5,3,4,4,4,6,4,4,5,3,4,7,4,4,6,4,3,3,7,4,6,4,4,3,4,4,4,7,4,6,4,5,3,4,4,4
2,3,2,2,4,1,4,6,5,2,4,2,4,4,4,3,2,9,8,4,7,26,2,4,2,2,4,3,2,2,2,2,2,2,4,2,2,5,3,3,2,5,4,10,2,3,2,12,23,3,2,4,7,12,2,2,5,7,20,2,2,2,2,2,4,2,14,3,2,2,6,5,2,3,3,5,4,7,7,6,2,3,3,3,3,2,2,2,2,3,4,2,2,2,2,2,2,16,2,2,1,9,3,2,3,3,3,2,2,2,2,10,4,7,4,7,2,2,2,2,7,3,3,2,2,6,2,2,2,2,3,5,2,4,2,4,2,7,2,2,2,3,9,3,2,2,2,6,2,2,2,4,8,2,2,4,6,4,2,2,10,4,4,7,4,2,2,3,4,4,3,2,12,8,2,2,2,15,4,5,3,2,2,6,3,3,3,3,3,2,2,2,4,2,4,3,3,2,5,2,2,4,4,3,3,5,2,4,2,2,2,2,2,2,5,2,4,2,3,2,2,2,2
4,4,4,4,6,4,1,8,6,4,6,4,6,6,6,5,4,11,8,6,9,27,4,6,4,4,6,5,4,4,4,4,4,4,6,4,4,7,5,5,4,7,6,12,4,5,4,14,23,5,4,6,7,14,4,4,5,9,22,4,4,4,4,4,6,4,17,5,4,3,6,7,4,5,5,7,6,9,9,7,4,5,5,5,5,4,4,4,4,5,6,4,4,4,4,4,4,17,4,4,4,11,5,4,4,4,4,4,4,4,4,12,6,9,6,9,4,4,4,4,8,5,5,4,4,6,4,4,4,4,5,7,4,6,4,6,4,9,4,4,4,5,11,5,4,4,4,8,4,4,4,6,10,4,4,6,8,6,4,4,12,6,6,9,6,4,4,5,6,5,5,4,13,10,4,4,4,16,6,7,5,4,4,6,5,5,5,5,5,4,4,4,6,4,6,5,5,4,7,4,4,6,6,5,5,7,4,6,4,4,4,4,4,4,7,4,5,4,5,4,4,4,4
6,7,6,6,8,6,8,1,9,6,8,6,8,5,8,7,6,13,12,6,11,28,6,8,6,6,8,7,6,6,6,6,6,6,5,6,6,9,7,7,6,9,8,14,6,7,6,16,22,5,6,8,11,11,6,6,9,11,24,6,6,6,6,6,6,5,19,5,6,6,10,9,6,7,7,9,8,11,11,10,6,7,7,7,5,6,6,6,6,7,8,6,6,6,6,6,5,19,5,5,6,13,5,6,7,7,7,6,6,6,6,14,8,11,8,11,6,5,5,6,11,7,7,6,5,10,5,6,6,6,7,9,6,8,6,8,6,11,6,6,5,7,13,7,6,6,6,5,6,6,6,8,12,6,6,8,5,8,6,6,14,8,8,11,8,6,6,6,8,8,7,6,11,10,6,6,6,14,8,9,7,6,6,10,7,7,7,7,7,6,6,6,8,6,8,7,7,6,6,6,5,5,8,7,7,9,6,8,6,6,6,6,6,6,9,6,8,6,7,6,6,6,6
5,5,5,5,7,5,6,9,1,5,7,5,7,7,7,6,5,10,7,7,8,26,5,7,5,5,7,5,5,5,5,5,5,5,7,5,5,8,6,6,5,8,7,11,5,6,5,15,22,6,5,7,8,14,5,5,6,8,21,4,5,5,5,5,7,5,18,6,5,4,7,6,5,6,6,6,5,8,8,7,5,6,6,6,6,5,5,5,5,6,7,5,5,5,5,5,5,17,5,5,5,12,6,4,5,6,6,5,5,5,4,11,7,8,7,10,5,5,5,5,8,6,6,5,5,7,5,5,5,5,6,8,5,7,5,7,4,8,5,5,5,6,10,6,4,5,5,9,5,5,5,7,11,5,5,7,9,5,5,5,11,7,7,8,7,5,5,6,7,5,6,4,14,9,5,5,5,17,7,8,6,5,5,7,6,6,6,6,6,4,5,5,5,5,7,6,6,5,8,5,5,7,7,6,6,8,5,5,5,4,5,5,5,5,8,5,7,5,6,5,5,5,5
2,3,2,2,4,2,4,6,5,1,4,1,4,4,4,3,2,9,8,4,7,26,2,4,2,2,4,3,2,2,2,2,1,1,4,2,1,5,3,3,2,5,4,9,2,3,2,12,23,3,2,4,7,12,2,2,5,7,20,2,2,2,2,2,4,2,14,3,1,2,6,5,1,3,3,5,4,7,7,6,2,3,3,3,3,2,2,2,2,3,4,2,2,2,2,2,2,16,2,2,2,9,3,2,3,3,3,2,2,2,2,10,4,7,4,7,1,2,2,2,7,3,3,2,2,6,2,2,2,2,3,5,2,4,2,4,2,7,2,2,2,3,9,3,2,2,2,6,2,2,2,4,8,2,2,4,6,4,2,2,10,4,4,7,4,2,2,3,4,4,3,2,12,8,2,2,2,15,4,5,3,2,2,6,3,3,3,3,3,2,2,2,4,2,4,3,3,2,5,2,2,4,4,3,3,5,2,4,2,2,2,2,2,2,5,2,4,2,3,2,2,2,2
