0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
1,9,8,11,3,17,7,4,3,17,3,5,21,82,17,7,6,17,8,48,4,5,3,3,4,13,5,9,11,3,4,3,4,4,3,4,3,32,8,5,3,3,3,9,3,3,25,3,47,5,3,3,10,12,18,3,6,5,20,5,36,6,6,20,6,22,17,21,17,16,3,32,3,3,3,3,3,11,7,10,8,32,9,32,3,7,3,14,9,11,19,5,12,16,3,3,3,3,3,7,7,3,3,3,3,4,15,17,11,4,11,11,11,14,11,3,3,3,3,3,27,3,3,3,3,4,3,3,6,3,3,3,3,3,5,3,3,3,11,3,4,5,11,32,5,3,14,7,3,3,3,7,3,3,3,3,4,10,11,9,9,3,10,11,3,11,11,19,3,3,8,4,4,19,3,123,3,3,7,8,3,7,3,5,7,3,3,4,10,3,11,5,11,10,10,9,4,11,3,3,3,4,7,3,12,12,4,8,3,3
9,1,13,16,8,22,12,7,8,20,8,10,26,87,20,12,11,22,13,51,9,10,8,8,9,18,10,13,14,8,7,8,9,9,8,7,8,37,13,10,8,8,8,13,8,8,30,8,50,10,8,8,15,17,23,7,11,10,24,10,41,11,11,25,11,27,22,26,22,20,7,37,8,8,8,8,7,16,12,15,13,37,14,37,8,12,8,18,13,15,23,10,17,21,8,8,8,8,8,12,12,8,8,8,7,9,20,22,14,7,14,14,14,17,14,8,8,8,8,8,30,8,8,8,8,9,8,8,11,8,8,8,8,8,10,8,8,8,14,8,9,10,14,37,10,8,17,12,8,8,7,12,7,8,8,8,9,15,14,13,13,8,13,16,8,16,16,24,8,7,13,9,9,23,8,126,7,7,12,13,8,12,7,10,12,8,8,9,15,8,16,9,16,15,15,13,9,14,8,8,8,7,12,7,17,17,7,13,8,7
8,13,1,15,7,21,11,8,7,21,7,9,25,86,21,11,10,21,12,52,8,9,7,7,8,17,9,13,15,7,8,7,8,8,7,8,7,36,12,9,7,7,7,13,7,7,29,7,51,9,7,7,14,16,22,7,10,9,24,9,40,10,10,24,10,26,21,25,21,20,7,36,7,7,7,7,7,15,11,14,12,36,13,36,7,11,7,18,13,15,23,9,16,20,7,7,7,7,7,11,11,7,7,7,7,8,13,21,15,8,15,15,15,18,15,7,7,7,7,7,31,7,7,7,7,8,7,7,10,7,7,7,7,7,9,7,7,7,15,7,8,9,15,36,9,7,18,11,7,7,7,11,7,7,7,7,8,14,15,13,13,7,14,15,7,15,15,23,7,7,12,8,8,23,7,127,7,7,11,12,7,11,7,9,11,7,7,8,14,7,15,9,15,14,8,13,8,15,7,7,7,8,11,7,16,16,8,12,7,7
11,16,15,1,10,24,14,11,10,24,10,12,28,89,24,14,13,24,15,55,11,12,10,10,11,20,12,16,18,10,11,10,11,11,10,11,10,39,15,12,10,10,10,16,10,10,26,10,54,12,10,10,11,19,25,10,13,12,27,12,43,13,13,27,13,29,24,28,24,23,10,39,10,10,10,10,10,9,14,17,15,39,16,39,10,14,10,21,16,18,26,12,19,23,10,10,10,10,10,14,14,10,10,10,10,11,22,16,18,11,18,18,18,21,18,9,9,9,9,10,34,9,10,10,10,11,10,10,13,10,10,10,10,10,12,10,10,10,18,10,11,12,18,39,12,10,21,14,10,10,10,14,10,10,10,10,11,17,18,16,16,10,17,9,10,9,9,17,10,10,15,11,11,26,10,130,10,10,14,15,10,14,10,12,14,10,10,11,12,10,9,11,9,17,17,16,11,18,10,10,10,11,14,10,10,10,11,15,10,10
3,8,7,10,1,16,6,3,2,16,2,4,20,80,16,6,5,16,7,47,2,3,2,2,3,12,4,8,10,2,3,2,2,2,2,3,1,31,7,4,2,2,2,8,2,2,24,2,46,4,2,2,9,11,17,2,5,4,19,4,35,5,5,19,5,21,16,20,16,15,2,31,2,2,1,1,2,10,6,9,7,31,8,31,2,6,2,13,8,10,18,4,11,15,2,2,2,2,2,6,6,2,2,2,2,3,14,16,10,3,10,10,10,13,10,2,2,2,2,2,26,2,2,2,2,3,2,2,5,2,2,2,2,2,4,1,2,2,10,2,3,4,10,31,4,2,13,6,2,2,2,6,2,2,2,2,3,9,10,8,8,2,9,10,2,10,10,18,2,2,7,3,3,18,2,121,2,2,6,7,2,6,2,4,6,2,2,3,9,2,10,4,10,9,9,8,3,10,2,2,2,3,6,2,11,11,3,7,2,2
17,22,21,24,16,1,20,17,16,30,16,18,19,95,30,20,19,15,15,61,17,18,15,16,17,26,18,22,24,16,17,16,17,17,16,17,16,45,21,18,16,15,15,22,16,16,23,16,60,18,16,16,23,25,16,16,19,17,33,18,48,18,18,18,18,20,15,19,15,29,16,45,16,16,16,16,16,24,20,23,21,45,22,45,16,20,16,27,22,24,32,18,25,29,16,16,16,16,16,20,20,15,15,15,16,17,22,30,24,17,24,24,24,27,24,16,16,16,16,16,40,16,16,16,16,17,16,16,19,16,16,16,16,15,18,16,16,16,24,15,17,18,24,45,18,16,27,20,16,16,16,20,16,16,16,16,17,23,24,22,22,16,23,24,16,24,24,26,16,16,15,17,17,32,16,136,16,16,20,15,16,20,16,18,20,16,15,17,23,16,24,18,24,23,23,22,17,24,16,16,15,17,20,16,25,25,17,15,15,16
7,12,11,14,6,20,1,7,6,20,6,8,24,84,20,10,9,20,11,48,7,7,6,6,7,16,7,12,14,6,7,6,7,7,6,7,6,32,11,8,6,6,6,12,6,6,28,6,47,8,6,6,13,12,21,6,9,8,23,8,38,9,9,23,9,25,20,24,20,19,6,32,6,6,6,6,6,14,10,13,11,32,12,32,6,10,6,17,12,14,22,8,15,19,6,6,6,6,6,10,10,6,6,6,6,7,18,20,14,7,14,14,14,14,14,6,6,6,6,6,30,6,6,6,6,7,6,6,9,6,6,6,6,6,8,6,6,6,14,6,7,5,14,32,5,6,17,5,6,6,6,5,6,6,6,6,7,13,14,12,12,6,13,14,6,14,14,22,6,6,11,7,7,22,5,122,6,6,5,11,6,10,6,8,10,6,6,7,13,5,14,8,14,13,13,12,7,14,6,6,6,7,10,6,15,15,7,11,6,6
4,7,8,11,3,17,7,1,3,17,3,5,21,82,17,7,6,17,8,48,4,5,3,3,4,13,5,9,11,3,3,3,4,4,3,2,3,32,8,5,3,3,3,9,3,3,25,3,47,5,3,3,10,12,18,3,6,5,20,5,36,6,6,20,6,22,17,21,17,16,3,32,3,3,3,3,2,11,7,10,8,32,9,32,3,7,3,14,9,11,19,5,12,16,3,3,3,3,3,7,7,3,3,3,3,4,15,17,11,4,11,11,11,14,11,3,3,3,3,3,27,3,3,3,3,4,3,3,6,3,3,3,3,3,5,3,3,3,11,3,4,5,11,32,5,3,14,7,3,3,2,7,3,3,3,3,4,10,11,9,9,3,10,11,3,11,11,19,3,2,8,4,4,19,3,123,2,2,7,8,3,7,2,5,7,3,3,4,10,3,11,4,11,10,10,9,4,11,3,3,3,3,7,3,12,12,3,8,3,3
3,8,7,10,2,16,6,3,1,16,1,4,20,80,16,6,5,16,7,47,3,4,2,2,3,12,3,8,10,2,3,2,3,3,2,3,2,31,7,4,2,2,2,8,2,2,24,2,46,4,2,1,9,11,17,2,5,4,19,4,35,5,5,19,5,21,16,20,16,15,2,31,2,2,2,2,2,10,6,9,7,31,8,31,2,6,2,13,8,10,18,3,10,15,2,2,2,2,2,6,6,2,2,2,2,3,14,16,10,3,10,10,10,13,10,2,2,2,2,2,26,2,2,2,2,3,2,2,5,2,2,2,2,2,4,2,2,2,10,2,3,4,10,31,4,2,13,6,2,2,2,6,2,2,2,2,3,9,10,8,8,1,9,10,2,10,10,18,2,2,7,3,3,18,2,121,2,2,6,7,1,6,2,4,6,2,2,3,9,2,10,4,10,9,9,8,3,10,2,2,2,3,6,2,11,11,3,7,2,2
17,20,21,24,16,30,20,17,16,1,16,18,34,95,15,20,19,30,21,46,17,18,16,16,17,26,18,19,20,16,17,16,17,17,16,17,16,45,21,18,16,16,16,19,16,16,38,16,45,18,16,16,23,25,31,15,19,18,19,18,49,19,19,33,19,35,30,34,30,15,15,45,16,16,16,16,16,24,20,23,21,45,22,45,16,20,16,24,19,21,29,18,25,22,16,16,16,16,16,20,20,16,16,16,15,17,28,30,20,15,20,20,20,23,20,16,16,16,16,16,25,16,16,16,16,17,16,16,19,16,16,16,16,16,18,16,16,16,20,16,17,18,20,45,18,16,23,20,16,16,16,20,15,16,16,16,17,23,20,19,19,16,19,24,16,24,24,32,16,16,21,17,17,29,16,121,16,16,20,21,16,20,16,18,20,16,16,17,23,16,24,18,24,23,23,19,17,20,16,16,16,17,20,15,25,25,17,21,16,15
