0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203
1,2,10,7,3,3,13,22,16,15,12,13,3,10,3,6,9,5,3,2,6,6,3,2,2,34,18,18,18,18,18,12,12,12,12,12,12,12,12,5,2,2,10,2,5,2,12,7,6,10,9,4,3,3,3,5,3,4,4,4,5,5,5,5,5,14,10,10,10,5,7,5,10,2,7,4,2,5,3,2,2,2,2,4,3,2,2,4,10,11,2,2,2,2,9,2,2,2,8,2,2,2,2,3,5,12,2,6,11,13,9,5,2,2,2,2,2,3,3,3,3,3,3,3,2,2,10,11,4,10,10,16,10,9,12,2,3,3,16,3,2,10,2,18,17,17,29,9,25,32,32,9,37,9,25,25,25,10,10,10,10,3,12,6,8,3,5,3,15,10,22,16,11,18,19,13,11,12,10,10,14,2,3,3,4,2,17,16,16,18,16,2,10,3,3,3,10,10,2,10,5,12,5,2
2,1,9,6,2,2,12,21,15,14,11,12,2,9,2,5,8,4,2,2,5,5,2,2,2,33,17,17,17,17,17,11,11,11,11,11,11,11,11,4,2,2,9,2,5,2,11,6,5,9,9,4,3,3,2,4,2,3,3,3,4,4,4,4,4,13,9,9,10,5,7,5,10,2,7,4,2,5,3,2,2,2,2,4,3,2,2,4,10,11,2,2,2,2,9,2,2,2,7,2,2,2,2,3,4,12,2,6,11,13,9,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,10,4,9,9,15,9,8,11,2,3,2,15,2,2,9,2,17,16,16,28,8,24,31,31,8,36,8,24,24,24,9,9,9,9,2,11,5,7,2,5,2,14,9,21,15,10,17,18,12,10,11,9,9,13,2,2,3,4,2,17,15,15,17,15,2,9,3,2,3,9,9,2,9,5,11,5,2
10,9,1,14,10,10,20,29,23,22,19,20,10,17,10,13,15,12,10,10,13,13,10,10,10,40,25,25,25,25,25,19,19,19,19,19,19,19,19,12,10,10,9,10,13,10,18,14,13,17,16,12,11,11,10,12,10,11,11,11,12,12,12,12,12,21,9,9,18,13,15,13,18,10,15,12,10,13,11,10,10,10,10,12,11,10,10,12,18,19,10,10,10,10,17,10,10,10,15,10,10,10,10,11,12,19,10,14,19,21,16,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,12,9,15,23,9,14,19,10,10,9,23,10,10,9,10,18,17,17,36,14,32,37,37,14,42,14,32,32,30,15,15,15,15,10,19,13,15,10,13,10,14,9,21,15,10,17,18,12,10,11,9,9,13,10,10,11,12,10,25,15,15,17,23,10,9,11,10,11,17,9,10,15,13,11,13,10
7,6,14,1,6,6,16,25,19,18,15,16,6,13,6,9,12,8,6,7,9,9,6,7,7,37,21,21,21,21,21,15,15,15,15,15,15,15,15,8,7,7,14,7,10,7,15,10,9,13,13,8,7,7,6,8,6,7,7,7,8,8,8,8,8,17,14,14,15,10,12,10,15,7,12,9,7,10,8,7,7,7,7,9,8,7,7,9,15,15,7,7,7,7,14,7,7,7,11,7,7,7,7,8,8,17,7,11,16,18,10,10,7,7,7,7,7,6,6,6,6,6,6,6,7,7,14,15,9,14,14,19,14,13,15,7,8,6,19,6,7,14,7,18,17,17,32,13,28,36,36,13,41,13,28,28,29,14,14,14,14,6,15,9,11,6,8,6,19,14,26,20,15,22,23,17,15,16,14,14,18,7,6,8,9,7,22,20,20,22,19,7,14,8,6,8,13,14,7,14,10,16,10,7
3,2,10,6,1,2,12,21,15,14,11,12,2,9,2,5,8,4,2,3,5,5,2,3,3,33,17,17,17,17,17,11,11,11,11,11,11,11,11,4,3,3,10,3,6,3,11,6,5,9,9,4,3,3,2,4,2,3,3,3,4,4,4,4,4,13,10,10,11,6,8,6,11,3,8,5,3,6,4,3,3,3,3,5,4,3,3,5,11,12,3,3,3,3,10,3,3,3,7,3,3,3,3,4,4,13,3,7,12,14,10,6,3,3,3,3,3,2,2,2,2,2,2,2,3,3,10,11,5,10,10,15,10,9,11,3,4,2,15,2,3,10,3,18,17,17,28,9,24,32,32,9,37,9,24,24,25,10,10,10,10,2,11,5,7,1,5,2,15,10,22,16,11,18,19,13,11,12,10,10,14,3,2,4,5,3,18,16,16,18,15,3,10,4,2,4,9,10,3,10,6,12,6,3
3,2,10,6,2,1,12,21,15,14,11,12,2,9,2,5,8,4,2,3,5,5,2,3,3,33,17,17,17,17,17,11,11,11,11,11,11,11,11,4,3,3,10,3,6,3,11,6,5,9,9,4,3,3,2,4,2,3,3,3,4,4,4,4,4,13,10,10,11,6,8,6,11,3,8,5,3,6,4,3,3,3,3,5,4,3,3,5,11,12,3,3,3,3,10,3,3,3,7,3,3,3,3,4,4,13,3,7,12,14,10,6,3,3,3,3,3,2,2,2,2,2,2,2,3,3,10,11,5,10,10,15,10,9,11,3,4,2,15,2,3,10,3,18,17,17,28,9,24,32,32,9,36,9,24,24,24,10,10,10,10,1,10,4,6,2,5,2,15,10,22,16,11,18,19,13,11,12,10,10,14,3,2,4,5,3,18,16,16,18,15,3,10,4,2,4,9,10,3,10,6,12,6,3
13,12,20,16,12,12,1,20,14,13,11,11,11,18,11,14,18,14,12,13,15,15,12,13,13,42,26,26,26,26,26,21,21,21,21,21,21,21,21,14,13,13,20,13,16,13,21,16,15,18,19,14,13,13,12,14,12,13,13,13,14,14,14,14,14,22,20,20,21,16,18,16,21,13,18,15,13,16,14,13,13,13,13,14,14,13,13,15,21,22,13,13,13,13,20,13,13,13,17,13,13,13,13,14,14,23,13,16,21,24,20,16,13,13,13,13,13,12,12,12,12,12,12,12,13,13,20,21,15,20,20,14,20,19,21,13,14,12,14,12,13,20,13,28,27,27,38,19,34,42,42,19,47,19,34,34,35,20,20,20,20,12,21,15,17,12,15,12,25,20,32,26,21,28,29,23,21,22,20,20,24,13,12,14,15,13,28,26,26,28,14,13,20,14,12,14,18,20,13,20,15,22,16,13
22,21,29,25,21,21,20,1,20,20,20,20,20,24,20,20,26,23,21,22,24,24,21,22,22,50,34,34,34,34,34,29,29,29,29,29,29,29,29,23,22,22,29,22,25,22,30,25,24,27,28,23,22,22,21,23,21,22,22,22,23,23,23,23,23,30,29,29,30,25,27,25,30,22,27,24,22,25,23,22,22,22,22,23,23,22,22,24,30,31,22,22,22,22,29,22,22,22,26,22,22,22,22,23,23,32,22,25,30,33,29,25,22,22,22,22,22,21,21,21,21,21,21,21,22,22,29,30,24,29,29,20,29,28,29,22,23,21,20,21,22,29,22,37,36,36,47,28,43,51,51,28,56,28,43,43,44,29,29,29,29,21,30,24,25,21,24,21,34,29,41,35,30,37,38,32,30,31,29,29,33,22,21,23,24,22,37,35,35,37,20,22,29,23,21,23,27,29,22,29,24,31,25,22
16,15,23,19,15,15,14,20,1,14,14,14,14,18,14,14,21,17,15,16,18,18,15,16,16,44,28,28,28,28,28,23,23,23,23,23,23,23,23,17,16,16,23,16,19,16,24,19,18,21,22,17,16,16,15,17,15,16,16,16,17,17,17,17,17,24,23,23,24,19,21,19,24,16,21,18,16,19,17,16,16,16,16,17,17,16,16,18,24,25,16,16,16,16,23,16,16,16,20,16,16,16,16,17,17,26,16,19,24,27,23,19,16,16,16,16,16,15,15,15,15,15,15,15,16,16,23,24,18,23,23,14,23,22,23,16,17,15,14,15,16,23,16,31,30,30,41,22,37,45,45,22,50,22,37,37,38,23,23,23,23,15,24,18,20,15,18,15,28,23,35,29,24,31,32,26,24,25,23,23,27,16,15,17,18,16,31,29,29,31,14,16,23,17,15,17,21,23,16,23,18,25,19,16
15,14,22,18,14,14,13,20,14,1,13,13,13,18,13,14,20,16,14,15,17,17,14,15,15,43,27,27,27,27,27,22,22,22,22,22,22,22,22,16,15,15,22,15,18,15,23,18,17,20,21,16,15,15,14,16,14,15,15,15,16,16,16,16,16,24,22,22,23,18,20,18,23,15,20,17,15,18,16,15,15,15,15,16,16,15,15,17,23,24,15,15,15,15,22,15,15,15,19,15,15,15,15,16,16,25,15,18,23,26,22,18,15,15,15,15,15,14,14,14,14,14,14,14,15,15,22,23,17,22,22,14,22,21,22,15,16,14,14,14,15,22,15,30,29,29,40,21,36,44,44,21,49,21,36,36,37,22,22,22,22,14,23,17,19,14,17,14,27,22,34,28,23,30,31,25,23,24,22,22,26,15,14,16,17,15,30,28,28,30,14,15,22,16,14,16,20,22,15,22,17,24,18,15
